"Exp","Condition"
0.88194246,"Donor_wo"
2.731510932,"Donor_wo"
0.3013213315,"Donor_wo"
0.566304181,"Donor_wo"
4.641486855,"Donor_w"
-0.944558479,"Donor_wo"
1.6765540755,"Donor_wo"
0.1166468095,"Donor_wo"
0.1645711065,"Donor_wo"
1.1895035905,"Donor_w"
-0.116174255,"Donor_wo"
-0.5730626455,"Donor_wo"
-1.0393181045,"Donor_wo"
-0.0531029504999999,"Donor_w"
0.2289622095,"Donor_wo"
-0.1468375595,"Donor_wo"
2.3945064025,"Donor_wo"
2.3326553025,"Donor_wo"
-0.761755052,"Donor_wo"
-0.107437856,"Donor_wo"
2.9753984265,"Donor_wo"
0.825472917,"Donor_w"
-0.1261714575,"Donor_wo"
2.7209193195,"Donor_wo"
-0.7478511315,"Donor_wo"
-0.5002816465,"Donor_wo"
-0.5078041355,"Donor_wo"
1.257999116,"Donor_wo"
-0.9701211595,"Donor_wo"
-0.238855189,"Donor_wo"
1.1860211915,"Donor_wo"
-0.432414553,"Donor_wo"
0.645964238,"Donor_wo"
-1.5097500485,"Donor_wo"
-0.5312379175,"Donor_wo"
2.3387023545,"Donor_wo"
-1.1654589885,"Donor_wo"
-0.299996934,"Donor_wo"
1.3583731255,"Donor_wo"
1.356265079,"Donor_wo"
-0.651378103,"Donor_wo"
-1.248511919,"Donor_wo"
0.2597179715,"Donor_wo"
1.4144124665,"Donor_wo"
1.302978681,"Donor_wo"
3.523093918,"Donor_wo"
-0.0191840390000001,"Donor_wo"
-0.4041075685,"Donor_wo"
-0.982313602,"Donor_wo"
-0.1536080275,"Donor_wo"
0.222333232,"Donor_wo"
1.355786378,"Donor_w"
-0.2372745765,"Donor_wo"
-0.1752362355,"Donor_wo"
-0.4200018325,"Donor_wo"
-0.764496839,"Donor_wo"
0.244958818,"Donor_wo"
1.4538650735,"Donor_wo"
-1.1988080735,"Donor_wo"
-0.6718261115,"Donor_wo"
-0.920663243,"Donor_wo"
1.758075955,"Donor_wo"
-0.6530013125,"Donor_wo"
-0.388363157,"Donor_wo"
0.841130732,"Donor_wo"
0.1473521605,"Donor_wo"
0.19637499,"Donor_wo"
-0.3460645055,"Donor_wo"
1.998849702,"Donor_wo"
-0.0975070405,"Donor_w"
-0.8346273115,"Donor_wo"
-0.8134265725,"Donor_wo"
-0.260827495,"Donor_wo"
0.1029316375,"Donor_wo"
-0.541311834,"Donor_wo"
-1.074008004,"Donor_wo"
-0.5182811705,"Donor_wo"
2.0957267485,"Donor_wo"
-0.220207152,"Donor_wo"
2.8512984475,"Donor_wo"
0.6890067405,"Donor_wo"
-1.1501164375,"Donor_wo"
-0.265017628,"Donor_wo"
2.6371157165,"Donor_wo"
0.1967391005,"Donor_wo"
0.766987308,"Donor_wo"
0.072893665,"Donor_wo"
-0.750543576,"Donor_wo"
0.5681612625,"Donor_wo"
-0.652231819,"Donor_wo"
-0.5583763565,"Donor_wo"
-0.1967623655,"Donor_wo"
-1.274428385,"Donor_wo"
-0.661739347,"Donor_wo"
-0.3991328625,"Donor_wo"
-1.5215147225,"Donor_wo"
1.084462387,"Donor_wo"
1.3401420785,"Donor_wo"
-0.5979691215,"Donor_wo"
-0.2917912785,"Donor_wo"
-0.251579492,"Donor_wo"
