"count","Sample_Barcode","Condition"
2619.86847191621,"TCGA-VQ-A91Z","Donor_wo"
2336.18144230783,"TCGA-CG-5717","Donor_wo"
1870.84108415448,"TCGA-CD-5798","Donor_wo"
2456.32099363848,"TCGA-D7-6815","Donor_wo"
3362.65594547023,"TCGA-KB-A93J","Donor_wo"
1904.02050384954,"TCGA-VQ-A94P","Donor_wo"
3462.03849838935,"TCGA-D7-6520","Donor_wo"
5360.22305579508,"TCGA-HU-A4GX","Donor_wo"
3268.74460705094,"TCGA-BR-4187","Donor_wo"
3912.82903493727,"TCGA-VQ-A8PO","Donor_wo"
4593.10051542924,"TCGA-HF-7132","Donor_w"
2043.62629312251,"TCGA-VQ-A94U","Donor_wo"
5973.80223576832,"TCGA-R5-A7ZR","Donor_wo"
1431.76996755825,"TCGA-BR-8060","Donor_wo"
3016.51416761456,"TCGA-CG-4441","Donor_wo"
2023.19008108529,"TCGA-D7-8576","Donor_wo"
2208.25173629757,"TCGA-IN-A7NU","Donor_wo"
1906.11050063811,"TCGA-CD-A48C","Donor_wo"
1201.62745011718,"TCGA-MX-A666","Donor_wo"
6500.64736859453,"TCGA-BR-4253","Donor_wo"
5919.73000459699,"TCGA-BR-6802","Donor_wo"
2915.01311242486,"TCGA-IN-A6RN","Donor_wo"
1591.12492601942,"TCGA-BR-8483","Donor_wo"
1547.82313259181,"TCGA-IN-7808","Donor_wo"
3685.83645908712,"TCGA-CG-4476","Donor_wo"
2735.68196657455,"TCGA-CD-8527","Donor_wo"
3266.41217348488,"TCGA-BR-6453","Donor_wo"
1500.93270667808,"TCGA-BR-6709","Donor_wo"
1601.13333158218,"TCGA-CG-4443","Donor_wo"
1058.93382934047,"TCGA-BR-8380","Donor_wo"
4588.49440029824,"TCGA-FP-7916","Donor_wo"
2979.65426601639,"TCGA-D7-A6EV","Donor_wo"
4488.26526995609,"TCGA-CG-4436","Donor_wo"
1798.70123082056,"TCGA-BR-6457","Donor_wo"
954.437565966629,"TCGA-BR-7723","Donor_wo"
6602.00773081778,"TCGA-VQ-A927","Donor_wo"
6618.52069163905,"TCGA-VQ-AA6G","Donor_wo"
2251.96053995917,"TCGA-RD-A7BS","Donor_wo"
4165.10183252068,"TCGA-BR-4280","Donor_wo"
2347.50087766073,"TCGA-BR-4368","Donor_wo"
