"group","freg","mean","sd","GO"
"All",1,0.0325198236655727,0.0487544464496901,"GO:0006614"
"All",2,0.0344941239279242,0.0505367505404976,"GO:0006614"
"All",3,0.0354698140472908,0.0510879348863167,"GO:0006614"
"All",4,0.0363029447109688,0.0515773938055876,"GO:0006614"
"All",5,0.0369631176284153,0.0516684061227779,"GO:0006614"
"All",6,0.0376898643720542,0.0523264982235925,"GO:0006614"
"All",7,0.0379617188281086,0.0526363409850638,"GO:0006614"
"All",8,0.0386514214427517,0.0536242946021746,"GO:0006614"
"All",9,0.0391111176125579,0.0538526056463942,"GO:0006614"
"All",10,0.0397874815779113,0.0541914526920502,"GO:0006614"
"All",11,0.0397635782836937,0.0540103317281902,"GO:0006614"
"All",12,0.0401262739951792,0.054480215021664,"GO:0006614"
"All",13,0.0403948200604255,0.0546090669105082,"GO:0006614"
"All",14,0.0403941142366548,0.0544281977489712,"GO:0006614"
"All",15,0.0410274822544248,0.0549748514923076,"GO:0006614"
"All",16,0.0410085217610391,0.0548896532695896,"GO:0006614"
"All",17,0.0412799733387932,0.055267677689974,"GO:0006614"
"All",18,0.0410298206503093,0.0551850952024194,"GO:0006614"
"All",19,0.0413218216734751,0.0554004418768835,"GO:0006614"
"All",20,0.0418811312746358,0.0557210023749592,"GO:0006614"
"All",21,0.0417942422642233,0.0556082471941882,"GO:0006614"
"All",22,0.0416466621675232,0.0551715056895953,"GO:0006614"
"All",23,0.0417389417511877,0.0551383044206028,"GO:0006614"
"All",24,0.0420499230557523,0.0554956044587308,"GO:0006614"
"All",25,0.0426515534918858,0.0562262577818789,"GO:0006614"
"All",26,0.0425143860697003,0.0559715404090491,"GO:0006614"
"All",27,0.0429904580750625,0.0563199306893782,"GO:0006614"
"All",28,0.042818504211267,0.0561146112384024,"GO:0006614"
"All",29,0.0429050951984189,0.05621841151958,"GO:0006614"
"All",30,0.0432242246347256,0.0563217798798154,"GO:0006614"
"All",31,0.0430261163610543,0.0561485735246658,"GO:0006614"
"All",32,0.0431047770026039,0.0562144616877493,"GO:0006614"
"All",33,0.043393036901372,0.0561567509415239,"GO:0006614"
"All",34,0.0438423867726529,0.0567315449198757,"GO:0006614"
"All",35,0.0434038585750232,0.0562434261601015,"GO:0006614"
"All",36,0.0434569823188577,0.0564466889841427,"GO:0006614"
"All",37,0.0437416033309746,0.0567343055483003,"GO:0006614"
"All",38,0.0442033060613167,0.0566225047324265,"GO:0006614"
"All",39,0.0440805735492401,0.0568564561035346,"GO:0006614"
"All",40,0.0442844448747243,0.0565740916666472,"GO:0006614"
"All",41,0.0445206585200223,0.0570273500896912,"GO:0006614"
"All",42,0.0445346218873912,0.0572339742667788,"GO:0006614"
"All",43,0.0445706579733149,0.0574115739696954,"GO:0006614"
"All",44,0.0450715856376193,0.0576578191037184,"GO:0006614"
"All",45,0.0451607941575079,0.0576006364402732,"GO:0006614"
"All",46,0.0452962080699979,0.0574949841696554,"GO:0006614"
"All",47,0.0457466972254661,0.0581750990445375,"GO:0006614"
"All",48,0.0459556890803291,0.0581225153495678,"GO:0006614"
"All",49,0.0457343950443083,0.0581384483185006,"GO:0006614"
"All",50,0.0456030427731357,0.0580554394162584,"GO:0006614"
"All",51,0.0456157215562574,0.0582704599977955,"GO:0006614"
"All",52,0.0457127754324729,0.0583212330038638,"GO:0006614"
"All",53,0.0455543535067439,0.0580293907055852,"GO:0006614"
"All",54,0.0461398381440046,0.0582124776504508,"GO:0006614"
"All",55,0.0465521703886881,0.0582835567770031,"GO:0006614"
"All",56,0.0469910715183916,0.0586734652269497,"GO:0006614"
"All",57,0.0472951161748318,0.0590379126626657,"GO:0006614"
"All",58,0.0471829204979222,0.0589178796543805,"GO:0006614"
"All",59,0.0470057304954194,0.0587614432882346,"GO:0006614"
"All",60,0.0474406609814931,0.0591088202334099,"GO:0006614"
"All",61,0.0472570468469544,0.0589159249044566,"GO:0006614"
"All",62,0.0478046525776473,0.0588003111519519,"GO:0006614"
"All",63,0.0478308057141753,0.0592206650643729,"GO:0006614"
"All",64,0.0477574827467363,0.0589316288496955,"GO:0006614"
"All",65,0.047643222527332,0.0590466031048622,"GO:0006614"
"All",66,0.0482177327493479,0.059286070410216,"GO:0006614"
"All",67,0.0481799107564579,0.059192601557359,"GO:0006614"
"All",68,0.0481726366190033,0.0596014144447556,"GO:0006614"
"All",69,0.0488046099353637,0.0600087911544015,"GO:0006614"
"All",70,0.0486075910286198,0.0599428052224518,"GO:0006614"
"All",71,0.0489704213320974,0.0598671334120185,"GO:0006614"
"All",72,0.0492151991187483,0.0596752084945488,"GO:0006614"
"All",73,0.0494136958990983,0.0598292179262781,"GO:0006614"
"All",74,0.0497638706128463,0.0601915330664103,"GO:0006614"
"All",75,0.0502800588459429,0.0604390748892309,"GO:0006614"
"All",76,0.0503114327492422,0.0607147038714227,"GO:0006614"
"All",77,0.0502707595390526,0.0605251752265122,"GO:0006614"
"All",78,0.0504751253694608,0.0606036922760085,"GO:0006614"
"All",79,0.0512075272594436,0.0608649723324217,"GO:0006614"
"All",80,0.0519604922557679,0.0607941501290056,"GO:0006614"
"All",81,0.0519473288361707,0.0612043472553781,"GO:0006614"
"All",82,0.0523620480016937,0.0613819032230281,"GO:0006614"
"All",83,0.0525020653421966,0.0613617297777223,"GO:0006614"
"All",84,0.0530268690008471,0.0616711751862628,"GO:0006614"
"All",85,0.053870277940016,0.0622325110617914,"GO:0006614"
"All",86,0.0545359200069118,0.0625891479640219,"GO:0006614"
"All",87,0.0549879764704846,0.0630045542507123,"GO:0006614"
"All",88,0.0555533046576647,0.063142359889354,"GO:0006614"
"All",89,0.056428319094919,0.0633025196960852,"GO:0006614"
"All",90,0.0573175347484822,0.0641221284399554,"GO:0006614"
"All",91,0.0581537644896452,0.0641222344392988,"GO:0006614"
"All",92,0.0587491141426992,0.0637664016716348,"GO:0006614"
"All",93,0.059799586897863,0.0645641301301221,"GO:0006614"
"All",94,0.0603640673651339,0.0646355034400554,"GO:0006614"
"All",95,0.0615960855844275,0.0648334333572111,"GO:0006614"
"All",96,0.0627812769370167,0.0650515879148606,"GO:0006614"
"All",97,0.0642661579473579,0.0649632119529469,"GO:0006614"
"All",98,0.0654298389250804,0.0649331669706786,"GO:0006614"
"All",99,0.0664922715311851,0.0648107152407883,"GO:0006614"
"All",100,0.0646323676588691,0.0638289111334761,"GO:0006614"
"GO",1,0.0443779273074707,0.0646526281232598,"GO:0006614"
"GO",2,0.0555161600920316,0.0729058783986155,"GO:0006614"
"GO",3,0.0532060392115239,0.0766472818312311,"GO:0006614"
"GO",4,0.0491601959156244,0.0670026151534041,"GO:0006614"
"GO",5,0.0483754231187399,0.0622236607403174,"GO:0006614"
"GO",6,0.0443028014787912,0.0660193571945885,"GO:0006614"
"GO",7,0.0449545299687027,0.0668530931919924,"GO:0006614"
"GO",8,0.047255744147942,0.0640139593377717,"GO:0006614"
"GO",9,0.0462400372084278,0.05978963766912,"GO:0006614"
"GO",10,0.0436582502459185,0.0587994084155337,"GO:0006614"
"GO",11,0.0502706798215534,0.0628044734887186,"GO:0006614"
"GO",12,0.0480278189861365,0.0650457084821241,"GO:0006614"
"GO",13,0.0488716366040008,0.0677863406136623,"GO:0006614"
"GO",14,0.0481577966968456,0.0656171602134306,"GO:0006614"
"GO",15,0.0494331214603281,0.0657945828385889,"GO:0006614"
"GO",16,0.0503719688949207,0.0662373875400304,"GO:0006614"
"GO",17,0.0486803326986974,0.066831926730732,"GO:0006614"
"GO",18,0.0483609755553402,0.0680218610757589,"GO:0006614"
"GO",19,0.0474302675574129,0.0663413807112684,"GO:0006614"
"GO",20,0.0470570981010419,0.067169314793099,"GO:0006614"
"GO",21,0.0469736387196152,0.0681480852138918,"GO:0006614"
"GO",22,0.0522743326916981,0.0679661152017199,"GO:0006614"
"GO",23,0.0515097397119781,0.0715237013538076,"GO:0006614"
"GO",24,0.0491963628902069,0.0696973450133155,"GO:0006614"
"GO",25,0.052089926731713,0.0708597768086951,"GO:0006614"
"GO",26,0.054944397842844,0.074324874237938,"GO:0006614"
"GO",27,0.0552179963809785,0.0709435449643054,"GO:0006614"
"GO",28,0.051597996258697,0.0682005507631974,"GO:0006614"
"GO",29,0.0532375029311957,0.0677155206721535,"GO:0006614"
"GO",30,0.0516102305800768,0.0649621875728967,"GO:0006614"
"GO",31,0.0504332488673892,0.0640449423071936,"GO:0006614"
"GO",32,0.0533512798104224,0.0645376095600622,"GO:0006614"
"GO",33,0.056305932050222,0.0675078553201952,"GO:0006614"
"GO",34,0.0581380518367995,0.0714630270729185,"GO:0006614"
"GO",35,0.0535034077647041,0.0697717533028283,"GO:0006614"
"GO",36,0.0570543386777359,0.0701185629730262,"GO:0006614"
"GO",37,0.0589286897050819,0.0691973256728978,"GO:0006614"
"GO",38,0.0590904171489181,0.0685958241161474,"GO:0006614"
"GO",39,0.0595506828928869,0.0658744093209341,"GO:0006614"
"GO",40,0.0611905809797309,0.0687563401311294,"GO:0006614"
"GO",41,0.0661717480798531,0.0737474513597141,"GO:0006614"
"GO",42,0.0684269263466541,0.0721026465219957,"GO:0006614"
"GO",43,0.0653553575618319,0.072041285608606,"GO:0006614"
"GO",44,0.0681783580629526,0.0715968400159225,"GO:0006614"
"GO",45,0.0707823268070439,0.0700281478187953,"GO:0006614"
"GO",46,0.0712874402811064,0.075074763451655,"GO:0006614"
"GO",47,0.0719036317999802,0.0705830018042679,"GO:0006614"
"GO",48,0.0709164188033099,0.0697257115008416,"GO:0006614"
"GO",49,0.0706619656985084,0.0731028036447923,"GO:0006614"
"GO",50,0.0711400546963158,0.0742098322671779,"GO:0006614"
"GO",51,0.0725261888847891,0.0775314810627765,"GO:0006614"
"GO",52,0.0781858559947229,0.0781028523195021,"GO:0006614"
"GO",53,0.0764115186165393,0.0795638761329236,"GO:0006614"
"GO",54,0.0781670663839969,0.0781851849406169,"GO:0006614"
"GO",55,0.0781308775873119,0.080872578739234,"GO:0006614"
"GO",56,0.080172992527629,0.0824006978134229,"GO:0006614"
"GO",57,0.0773586057932187,0.0798954415594854,"GO:0006614"
"GO",58,0.0779100837058,0.0784849851107526,"GO:0006614"
"GO",59,0.0782014944465171,0.0782576005603686,"GO:0006614"
"GO",60,0.0738930105921186,0.0771687022342847,"GO:0006614"
"GO",61,0.0740084476469342,0.0798874122699866,"GO:0006614"
"GO",62,0.0726810258782066,0.0770339122951026,"GO:0006614"
"GO",63,0.0754978087964839,0.076695077540819,"GO:0006614"
"GO",64,0.0757275423380213,0.0775943452038146,"GO:0006614"
"GO",65,0.0749009665931229,0.0791657117539147,"GO:0006614"
"GO",66,0.0747026296439052,0.0791422067756433,"GO:0006614"
"GO",67,0.0753021420264769,0.0764150700719895,"GO:0006614"
"GO",68,0.0793098600156994,0.0795938883491045,"GO:0006614"
"GO",69,0.0756835045754492,0.0729406169352504,"GO:0006614"
"GO",70,0.0710171904148398,0.0725130941729212,"GO:0006614"
"GO",71,0.0744269600016083,0.0740151218506793,"GO:0006614"
"GO",72,0.0770791728120301,0.077172820094501,"GO:0006614"
"GO",73,0.0813034176935102,0.082167363877838,"GO:0006614"
"GO",74,0.0811499545529642,0.0846663210800108,"GO:0006614"
"GO",75,0.0779544499617355,0.0841408578356035,"GO:0006614"
"GO",76,0.0790275863942894,0.0834531991699798,"GO:0006614"
"GO",77,0.0812295224824204,0.0817181815585931,"GO:0006614"
